#time,T,H,O,H2,O2,OH,H2O,N2,N,NO,HO2,H2O2,AR,OH*,HE
0.0008800000000000149,2128.897515010417,1.6866978872956951e-06,0.00023798116715726452,2.0781683937737563e-05,0.1252395279559614,0.0024697192536784103,0.11501087709937134,0.7569609812533377,9.712729726023527e-10,2.4154508961141146e-05,5.293744505626483e-06,2.848612808388394e-07,2.8710802273558637e-05,3.747249668948384e-13,0.0
0.0008810000000000149,2128.8993458091495,1.686324229625333e-06,0.00023794598151513727,2.0778613223775253e-05,0.12523960850061147,0.002469541705600379,0.11501100196648335,0.7569609716931645,9.711442315936944e-10,2.417498917942059e-05,5.293632210351601e-06,2.848199894855454e-07,2.8710802273558637e-05,3.7466065273239235e-13,0.0
0.0008820000000000149,2128.901163751891,1.6859531841492786e-06,0.00023791103905366226,2.077556374992316e-05,0.12523968842180394,0.0024693653700020835,0.11501112597790826,0.7569609621342677,9.71016394128739e-10,2.4195466661691882e-05,5.293520719971355e-06,2.847789840245801e-07,2.8710802273558637e-05,3.7459679229858823e-13,0.0
0.000883000000000015,2128.902968928325,1.6855847320344949e-06,0.0002378763380555128,2.0772535366121057e-05,0.12523976772385034,0.002469190238509206,0.1150112491395934,0.7569609525766384,9.70889453869469e-10,2.42159414265502e-05,5.293410028341488e-06,2.847382624336846e-07,2.8710802273558637e-05,3.7453338225402864e-13,0.0
0.000884000000000015,2128.9047614274955,1.6852188545900901e-06,0.00023784187681586595,2.0769527923401992e-05,0.1252398464110319,0.0024690163028059857,0.11501137145744401,0.7569609430202683,9.707634045234702e-10,2.4236413492460987e-05,5.293300129368495e-06,2.846978227053677e-07,2.8710802273558637e-05,3.744704192854217e-13,0.0
0.000885000000000015,2128.9065413378116,1.6848555332659526e-06,0.00023780765364229083,2.0766541273882548e-05,0.1252399244875999,0.0024688435546347445,0.11501149293732359,0.7569609334651485,9.706382398435347e-10,2.425688287776101e-05,5.293191017009086e-06,2.846576628467732e-07,2.8710802273558637e-05,3.7440790010531196e-13,0.0
0.000886000000000015,2128.9083087470567,1.684494749651387e-06,0.00023777366685463698,2.0763575270753032e-05,0.12524000195777596,0.0024686719857954036,0.11501161358505427,0.7569609239112706,9.705139536272637e-10,2.427734960065941e-05,5.29308268526964e-06,2.84617780879548e-07,2.8710802273558637e-05,3.743458214518117e-13,0.0
0.0008870000000000151,2128.910063742391,1.6841364854737493e-06,0.00023773991478492283,2.0760629768267728e-05,0.1252400788257521,0.0024685015881450085,0.1150117334064172,0.7569609143586263,9.703905397166705e-10,2.4297813679238745e-05,5.292975128205665e-06,2.845781748397087e-07,2.8710802273558637e-05,3.742841800883321e-13,0.0
0.0008880000000000151,2128.9118064102863,1.6837807226175974e-06,0.00023770639577875847,2.0757704621871655e-05,0.12524015509568828,0.0024683323536030376,0.11501185240714835,0.7569609048072071,9.70267992003074e-10,2.4318275131443303e-05,5.292868339929113e-06,2.84538842779332e-07,2.8710802273558637e-05,3.7422297280773373e-13,0.0
0.0008890000000000151,2128.9135368364477,1.6834274431484569e-06,0.00023767310819711366,2.075479968835807e-05,0.1252402307717086,0.002468164274158017,0.11501197059293346,0.7569608952570048,9.70146304433181e-10,2.4338733975064503e-05,5.292762314617463e-06,2.844997827686542e-07,2.8710802273558637e-05,3.741621964374716e-13,0.0
0.0008900000000000151,2128.915255106314,1.6830766291665763e-06,0.00023764005040537002,2.0751914824894313e-05,0.12524030585792312,0.0024679973418261585,0.11501208796943992,0.756960885708011,9.70025470971333e-10,2.4359190227832078e-05,5.292657046457683e-06,2.844609928830688e-07,2.8710802273558637e-05,3.7410184780811506e-13,0.0
0.0008910000000000152,2128.916961304564,1.6827282629511236e-06,0.0002376072207840965,2.0749049889980934e-05,0.12524038035840654,0.0024678315486919545,0.11501220454228545,0.7569608761602177,9.69905485636641e-10,2.4379643907324583e-05,5.292552529701446e-06,2.8442247121592407e-07,2.8710802273558637e-05,3.740419237844368e-13,0.0
0.0008920000000000152,2128.9186555152764,1.6823823269142258e-06,0.00023757461772560233,2.074620474314508e-05,0.12524045427720518,0.0024676668868951184,0.11501232031704811,0.7569608666136165,9.697863424910909e-10,2.4400095030998187e-05,5.292448758647502e-06,2.843842158744293e-07,2.8710802273558637e-05,3.739824212555371e-13,0.0
0.0008930000000000152,2128.9203378219327,1.6820388035997019e-06,0.0002375422396338327,2.074337924493135e-05,0.12524052761833698,0.002467503348630131,0.11501243529926668,0.7569608570681995,9.696680356391706e-10,2.4420543616187672e-05,5.292345727641179e-06,2.843462249795306e-07,2.8710802273558637e-05,3.7392333713459533e-13,0.0
0.0008940000000000152,2128.9220083074238,1.6816976756817938e-06,0.00023751008492426428,2.0740573256892667e-05,0.12524060038579193,0.0024673409261457904,0.11501254949444098,0.7569608475239585,9.69550559227498e-10,2.444098968010741e-05,5.2922434310738685e-06,2.843084966657871e-07,2.8710802273558637e-05,3.738646683586222e-13,0.0
